sei_numero,status,cpr,upm,publico_previsto,natureza,evento,endereco,cidade,inicio,fim,local_caracteristica,transito,Coluna 14,latitude,longitude
00050-00007697/2026-19,CAD,5º CPR,13º BPM,800,JUNINA,Arraiá da Asproeste,Rodovia DF001 chácara 67,Sobradinho II,2026-06-13 17:00:00,2026-06-13 02:00:00,PRIF,,2026-05-04,-15.62,-47.95
00050-00008886/2026-09,CAD,5º CPR,14º BPM,1000,JUNINA,festival candangão junino 2026,ST RECREATIVO ESTACIONAMENTO DO FUNÇÕES MÚLTIPLAS DE PLANALTINA DF CEP 73310-100,Planaltina,2026-06-13 18:00:00,2026-06-13 02:00:00,PUBA,,2026-05-20,-15.62,-47.65
00050-00008812/2026-64,CAD,5º CPR,14º BPM,190,JUNINA,Festa junina 2026 - Comunidade São Leonardo Murialdo,Entre Quadra 02 AE 02 Setor Residencial Norte-A (Jardim Roriz) Planaltina/DF - CEP 73340-250,Planaltina,2026-06-13 19:00:00,2026-06-13 23:59:00,PUBA,,2026-05-18,-15.60,-47.65
00050-00007960/2026-61,CAD,5º CPR,21º BPM,950,JUNINA,33º ARRAIA DOS CAIPIRAS DO BOSQUE ,PAQUE DE EXPOSIÇOES  DE SÃO SEBASTIÃO,São Sebastião,2026-06-13 20:00:00,2026-06-13 03:00:00,PUBA,,2026-05-06,-15.91,-47.76
00050-00008853/2026-51,CAD,5º CPR,14º BPM,190,JUNINA,Festa do Sagrado Coração de Jesus,"Planaltina-DF, Condomínio Mestre D'armas, Módulo B, Lote 14",Planaltina,2026-06-14 17:00:00,2026-06-14 00:30:00,PUBF,,2026-05-20,-15.60,-47.68
00050-00008886/2026-09,CAD,5º CPR,14º BPM,1000,JUNINA,festival candangão junino 2026,ST RECREATIVO ESTACIONAMENTO DO FUNÇÕES MÚLTIPLAS DE PLANALTINA DF CEP 73310-100,Planaltina,2026-06-14 18:00:00,2026-06-14 02:00:00,PUBA,,2026-05-20,-15.62,-47.65
00050-00008812/2026-64,CAD,5º CPR,14º BPM,190,JUNINA,Festa junina 2026 - Comunidade São Leonardo Murialdo,Entre Quadra 02 AE 02 Setor Residencial Norte-A (Jardim Roriz) Planaltina/DF - CEP 73340-250,Planaltina,2026-06-14 19:00:00,2026-06-14 23:59:00,PUBA,,2026-05-18,-15.60,-47.65
00050-00007960/2026-61,CAD,5º CPR,21º BPM,950,JUNINA,33º ARRAIA DOS CAIPIRAS DO BOSQUE ,PAQUE DE EXPOSIÇOES  DE SÃO SEBASTIÃO,São Sebastião,2026-06-14 20:00:00,2026-06-14 03:00:00,PUBA,,2026-05-06,-15.91,-47.76
00050-00005487/2026-88,CAD,5º CPR,21º BPM,400,JUNINA,Festa Junina do IFB Campus São Sebastião,"Quadra Quadra 2, Área Especial 2, S/N, Bairro São Bartolomeu",São Sebastião,2026-06-20 17:00:00,2026-06-20 22:00:00,PUBF,,2026-03-30,-15.89,-47.78
00050-00008527/2026-43,CAD,5º CPR,14º BPM,60,JUNINA,Arraia do condomínio,Q3 Rua G Condominio Nova Planaltina Df,Planaltina,2026-06-20 19:00:00,2026-06-20 06:00:00,PUBF,,2026-05-14,-15.78,-47.91
